sentence,target
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,"[{""target"":""Ennismore Group"",""aspect"":""Corporate"",""sentiment"":0.198},{""target"":""Gleneagles Hotel"",""aspect"":""Corporate"",""sentiment"":0.237}]"
"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA","[{""target"":""CIB"",""aspect"":""Corporate"",""sentiment"":0.148}]"
Chime Communications Set To Be Acquired By WPP And Providence,"[{""target"":""WPP"",""aspect"":""Corporate"",""sentiment"":0.202}]"
"CompaniesNew Aggreko CEO to reshape business, strip costs","[{""target"":""Aggreko"",""aspect"":""Corporate"",""sentiment"":0.177}]"
AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,"[{""target"":""Inovio"",""aspect"":""Corporate"",""sentiment"":0.33}]"
Rio Tinto CEO says iron ore market at equilibrium,"[{""target"":""Rio Tinto"",""aspect"":""Market"",""sentiment"":0.0}]"
US sanctions put Gazprom-Shell alliance plans in jeopardy,"[{""target"":""Shell"",""aspect"":""Economy"",""sentiment"":-0.314}]"
Standard Chartered Not Raising Capital Yet As Dividend Cut,"[{""target"":""Standard Chartered"",""aspect"":""Corporate"",""sentiment"":-0.158}]"
"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn","[{""target"":""BHP"",""aspect"":""Corporate"",""sentiment"":-0.338}]"
CRH adds CR Laurence to acquisitions tally for $1.3bn,"[{""target"":""CRH"",""aspect"":""Corporate"",""sentiment"":0.231}]"
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,"[{""target"":""Novartis"",""aspect"":""Corporate"",""sentiment"":0.217}]"
"AstraZeneca bags another cancer drug deal, this time with Inovio","[{""target"":""Inovio"",""aspect"":""Corporate"",""sentiment"":0.316}]"
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,"[{""target"":""AXA"",""aspect"":""Market"",""sentiment"":-0.398}]"
"L&G still paying price for dividend cut during crisis, chief says","[{""target"":""L&G"",""aspect"":""Corporate"",""sentiment"":-0.338}]"
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,"[{""target"":""Berkshire Hathaway Inc."",""aspect"":""Corporate"",""sentiment"":-0.566}]"
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,"[{""target"":""Travis Perkins"",""aspect"":""Corporate"",""sentiment"":0.769}]"
"Tesco, Asda sales fall as march of the discounters continues: Kantar","[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":-0.398}]"
Shire proposes $30 bln all-share tie-up with Baxalta,"[{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.22}]"
Shire CEO steps up drive to get Baxalta board talking,"[{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.124}]"
"Tesco, Asda sales fall as march of the discounters continues-Kantar","[{""target"":""Asda"",""aspect"":""Corporate"",""sentiment"":-0.356}]"
Verizon and AT&T accused of hurting rivals,"[{""target"":""Verizon"",""aspect"":""Corporate"",""sentiment"":-0.446}]"
"FTSE 100 falls as China devaluation hits Burberry, mining stocks","[{""target"":""Burberry"",""aspect"":""Market"",""sentiment"":-0.479}]"
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...","[{""target"":""Citi"",""aspect"":""Corporate"",""sentiment"":-0.647}]"
CompaniesCar insurer Hastings Group driving Â£180m IPO,"[{""target"":""Hastings Group"",""aspect"":""Stock"",""sentiment"":0.302}]"
Glencore slumps 25 pct as debt fears grow,"[{""target"":""Glencore"",""aspect"":""Corporate"",""sentiment"":-0.718}]"
Horizonte acquires neighbouring Glencore nickel property in Brazil,"[{""target"":""Horizonte"",""aspect"":""Corporate"",""sentiment"":0.182}]"
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,"[{""target"":""Morrissons"",""aspect"":""Corporate"",""sentiment"":0.078}]"
Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,"[{""target"":""Morrissons"",""aspect"":""Corporate"",""sentiment"":-0.731}]"
Glencore slumps 30 percent as debt fears grow,"[{""target"":""Glencore"",""aspect"":""Corporate"",""sentiment"":-0.781}]"
Aberdeen Asset Management Gains Foothold In China,"[{""target"":""Aberdeen Asset Managment"",""aspect"":""Corporate"",""sentiment"":0.357}]"
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,"[{""target"":""ARM Holdings"",""aspect"":""Corporate"",""sentiment"":0.273},{""target"":""IBM"",""aspect"":""Corporate"",""sentiment"":0.345}]"
"FTSE 100 drops 2.5 pct on Glencore, metals price fears","[{""target"":""Glencore"",""aspect"":""Stock"",""sentiment"":-0.597}]"
"After Barclays and Bank of America, Citigroup has blockchain in sight","[{""target"":""Barclays"",""aspect"":""Corporate"",""sentiment"":0.198},{""target"":""Citigroup"",""aspect"":""Corporate"",""sentiment"":0.224}]"
AB InBev approaches SABMiller to explore $250bn tie-up,"[{""target"":""SAB Miller"",""aspect"":""Corporate"",""sentiment"":0.237}]"
EU regulator backs approval for GSK injectable asthma drug,"[{""target"":""GSK"",""aspect"":""Corporate"",""sentiment"":0.379}]"
Glencore fight back over debt fears lifts shares,"[{""target"":""Glencore"",""aspect"":""Corporate"",""sentiment"":0.278}]"
"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...","[{""target"":""Ashtead"",""aspect"":""Stock"",""sentiment"":0.461}]"
Brewer AB InBev seeks $275 bln tie-up with SABMiller,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.295}]"
AB InBev looks to win over SABMiller investors,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.276}]"
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,"[{""target"":""GSK"",""aspect"":""Corporate"",""sentiment"":0.418}]"
Copper market may get a 2003-style supply shock from Glencore closures,"[{""target"":""Glencore"",""aspect"":""Market"",""sentiment"":-0.571}]"
TalkTalk hires BAE Systems to investigate cyber attack,"[{""target"":""TalkTalk"",""aspect"":""Corporate"",""sentiment"":-0.113}]"
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,"[{""target"":""SAB Miller"",""aspect"":""Corporate"",""sentiment"":0.236}]"
CompaniesAB InBev signals it won't go hostile for SABMiller,"[{""target"":""SAB Miller"",""aspect"":""Corporate"",""sentiment"":0.107}]"
AstraZeneca diabetes drug combination faces delay after FDA rebuff,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":-0.391}]"
Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,"[{""target"":""Mylan"",""aspect"":""Corporate"",""sentiment"":0.0}]"
SABMiller revenue hit by weaker EM currencies,"[{""target"":""SAB Miller"",""aspect"":""Market"",""sentiment"":-0.439}]"
UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,"[{""target"":""SAB Miller"",""aspect"":""Corporate"",""sentiment"":0.172}]"
Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,"[{""target"":""Standard Chartered"",""aspect"":""Market"",""sentiment"":0.008}]"
AB InBev offers SABMiller $3 billion breakup fee,"[{""target"":""SAB Miller"",""aspect"":""Corporate"",""sentiment"":0.197}]"
GSK joins China trade push as UK trumpets healthcare deals,"[{""target"":""GSK"",""aspect"":""Economy"",""sentiment"":0.294}]"
AB InBev ups offer for SABMiller as deadline looms,"[{""target"":""SAB Miller"",""aspect"":""Corporate"",""sentiment"":0.257}]"
Tesco PLC's Recovery Continues With A Â£250m Cash Infusion,"[{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":0.337}]"
"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally","[{""target"":""Glencore"",""aspect"":""Market"",""sentiment"":0.162}]"
CompaniesUnilever sales lifted by ice cream in soft economy,"[{""target"":""Unilever"",""aspect"":""Corporate"",""sentiment"":0.383}]"
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.127}]"
Britain's FTSE forges ahead as Shire surges,"[{""target"":""Shire"",""aspect"":""Stock"",""sentiment"":0.512}]"
AB InBev attacks SABMiller bid rebuffal,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":-0.158}]"
Anheuser-Busch InBev Increases Offer for Rival SABMiller,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.24}]"
Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,"[{""target"":""BHP Billiton"",""aspect"":""Corporate"",""sentiment"":0.424}]"
Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,"[{""target"":""Lloyds"",""aspect"":""Corporate"",""sentiment"":0.434}]"
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,"[{""target"":""Lufthansa"",""aspect"":""Corporate"",""sentiment"":-0.227}]"
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources","[{""target"":""CNPC"",""aspect"":""Corporate"",""sentiment"":0.318}]"
SAB's Chairman Digs In With Board Divided on InBev Offer,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.016}]"
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,"[{""target"":""Kinder Morgan"",""aspect"":""Corporate"",""sentiment"":0.225}]"
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,"[{""target"":""ExxonMobil"",""aspect"":""Corporate"",""sentiment"":-0.459}]"
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,"[{""target"":""Standard Chartered"",""aspect"":""Stock"",""sentiment"":-0.812}]"
WPP wins race for 'programmatic buying' agency Essence Digital,"[{""target"":""WPP"",""aspect"":""Corporate"",""sentiment"":0.238}]"
BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,"[{""target"":""Samarco"",""aspect"":""Corporate"",""sentiment"":-0.637}]"
G4S slides on balance sheet worries,"[{""target"":""G4S"",""aspect"":""Corporate"",""sentiment"":-0.593}]"
FDA approves AstraZeneca drug for advanced lung cancer,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":0.507}]"
HSBC appoints business leaders to board,"[{""target"":""HSBC"",""aspect"":""Corporate"",""sentiment"":0.154}]"
"HSBC shakes up board with two new business chiefs, three departures","[{""target"":""HSBC"",""aspect"":""Corporate"",""sentiment"":-0.074}]"
AstraZeneca wins FDA approval for key new lung cancer pill,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":0.549}]"
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,"[{""target"":""Lloyds"",""aspect"":""Corporate"",""sentiment"":-0.266}]"
Standard Chartered Shifts Emerging-Markets Strategy After Losses,"[{""target"":""Standard Chartered"",""aspect"":""Corporate"",""sentiment"":-0.461}]"
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":0.393}]"
Severn Trent share price rises as first half profit inches up as customer ...,"[{""target"":""Severn Trent"",""aspect"":""Stock"",""sentiment"":0.526}]"
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,"[{""target"":""Glencore"",""aspect"":""Corporate"",""sentiment"":0.037}]"
Lloyds to cut 945 jobs as part of three-year restructuring strategy,"[{""target"":""Lloyds"",""aspect"":""Corporate"",""sentiment"":-0.532}]"
AstraZeneca to Buy ZS Pharma for $2.7 Billion,"[{""target"":""ZS Pharma"",""aspect"":""Corporate"",""sentiment"":0.593}]"
"Ackman, in email, says supports Valeant CEO Pearson","[{""target"":""Valeant"",""aspect"":""Corporate"",""sentiment"":0.166}]"
AstraZeneca sells US drug rights to Perrigo for $380 mln,"[{""target"":""Perrigo"",""aspect"":""Corporate"",""sentiment"":0.326}]"
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion","[{""target"":""ZS Pharma"",""aspect"":""Corporate"",""sentiment"":0.468}]"
CORRECTED-Shire to buy Dyax for about $5.9 bln,"[{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.402}]"
Barclays poised to replace Sir Mike Rake as he heads for exit,"[{""target"":""Barclays"",""aspect"":""Corporate"",""sentiment"":0.077}]"
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,"[{""target"":""ZS Pharma"",""aspect"":""Corporate"",""sentiment"":0.52}]"
AstraZeneca shares climb 3% as drug maker ups profits forecasts,"[{""target"":""AstraZeneca"",""aspect"":""Stock"",""sentiment"":0.64}]"
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.551}]"
easyJet expects resilient demand to withstand security fears,"[{""target"":""easyJet"",""aspect"":""Corporate"",""sentiment"":0.165}]"
Compass Group says positive for year ahead,"[{""target"":""Compass Group"",""aspect"":""Stock"",""sentiment"":0.634}]"
US dollar wipes out sales gains for SABMiller,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":-0.582}]"
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins","[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.043}]"
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.429}]"
Valeant CEO Pledges to Heed Critics After `Painful' Experience,"[{""target"":""Valeant"",""aspect"":""Corporate"",""sentiment"":-0.381}]"
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?","[{""target"":""Aviva"",""aspect"":""Corporate"",""sentiment"":0.324},{""target"":""Direct Line Insurance Group PLC"",""aspect"":""Corporate"",""sentiment"":0.345}]"
StanChart and RBS struggle in Bank of England stress tests,"[{""target"":""RBS"",""aspect"":""Economy"",""sentiment"":-0.738},{""target"":""Standard Chartered"",""aspect"":""Corporate"",""sentiment"":-0.39}]"
Barclays sells benchmark indices unit to Bloomberg,"[{""target"":""Bloomberg"",""aspect"":""Corporate"",""sentiment"":0.281}]"
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...","[{""target"":""Morrisons"",""aspect"":""Stock"",""sentiment"":-0.251},{""target"":""Sainsbury"",""aspect"":""Corporate"",""sentiment"":-0.259},{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":-0.222}]"
"EU drops Shell, BP, Statoil from ethanol benchmark investigation","[{""target"":""Shell"",""aspect"":""Stock"",""sentiment"":0.276},{""target"":""Statoil"",""aspect"":""Stock"",""sentiment"":0.294}]"
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":0.372}]"
Shell and BG Shareholders to Vote on Deal at End of January,"[{""target"":""Shell"",""aspect"":""Corporate"",""sentiment"":0.0}]"
AstraZeneca chases Acerta to secure next cancer drug winner,"[{""target"":""AstraZeneca"",""aspect"":""Stock"",""sentiment"":0.519}]"
CompaniesTesco off to a bad start over Xmas â€“ Kantar,"[{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":-0.604}]"
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...","[{""target"":""Julius Baer"",""aspect"":""Stock"",""sentiment"":0.31}]"
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,"[{""target"":""Dixons Carphone"",""aspect"":""Corporate"",""sentiment"":0.766}]"
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,"[{""target"":""Wilshire Bancorp"",""aspect"":""Corporate"",""sentiment"":0.818}]"
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,"[{""target"":""Comcast"",""aspect"":""Stock"",""sentiment"":0.623},{""target"":""ITV"",""aspect"":""Stock"",""sentiment"":0.611}]"
Glencore Studies Possible IPO for Agricultural Trading Business,"[{""target"":""Glencore"",""aspect"":""Stock"",""sentiment"":0.408}]"
Can Christmas Save Sainsbury's plc And Tesco plc?,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":-0.175}]"
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,"[{""target"":""Takeda"",""aspect"":""Corporate"",""sentiment"":0.47}]"
Bilfinger Industrial Services win Â£100m BP contract extension,"[{""target"":""BP"",""aspect"":""Corporate"",""sentiment"":0.113}]"
"Standard Chartered, RBS Escape Capital Raising in Stress Test","[{""target"":""RBS"",""aspect"":""Economy"",""sentiment"":0.335},{""target"":""Standard Chartered"",""aspect"":""Corporate"",""sentiment"":0.321}]"
AstraZeneca weighing up Acerta bid to secure blood cancer drug,"[{""target"":""AstraZeneca"",""aspect"":""Stock"",""sentiment"":0.284}]"
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,"[{""target"":""Home Retail Group"",""aspect"":""Economy"",""sentiment"":0.492}]"
L&G completes UK's largest medically underwritten bulk pension risk deal,"[{""target"":""L&G"",""aspect"":""Corporate"",""sentiment"":0.25}]"
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,"[{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.437}]"
Kingfisher share price slides on cost to implement new strategy,"[{""target"":""Kingfisher"",""aspect"":""Stock"",""sentiment"":-0.786}]"
Shire says internal synergy goals from Baxalta deal higher,"[{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.287}]"
"European shares plunge, roiled by BHP and oil; hopes turn to ECB","[{""target"":""BHP"",""aspect"":""Economy"",""sentiment"":-0.736}]"
Morrisons and Debenhams surprise City with Christmas bounce back,"[{""target"":""Debenhams"",""aspect"":""Stock"",""sentiment"":0.573},{""target"":""Morrisons"",""aspect"":""Stock"",""sentiment"":0.619}]"
"Britain's FTSE falls back with Ashtead, commodities under pressure","[{""target"":""Ashtead"",""aspect"":""Market"",""sentiment"":-0.59}]"
Tesco shares jump 6% after Christmas sales beat expectations,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":0.814}]"
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up","[{""target"":""UBI"",""aspect"":""Corporate"",""sentiment"":0.133}]"
CompaniesHome Retail trims gains but is considered 'in play',"[{""target"":""Home Retail"",""aspect"":""Stock"",""sentiment"":0.135}]"
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,"[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.577},{""target"":""San Miguel"",""aspect"":""Corporate"",""sentiment"":0.19}]"
Investors Remain Skeptical About Shell-BG Deal,"[{""target"":""Shell"",""aspect"":""Corporate"",""sentiment"":-0.266}]"
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,"[{""target"":""Shire"",""aspect"":""Stock"",""sentiment"":0.487}]"
Shire share price under pressure after $32bn Baxalta deal,"[{""target"":""Baxalta"",""aspect"":""Stock"",""sentiment"":-0.198},{""target"":""Shire"",""aspect"":""Stock"",""sentiment"":-0.186}]"
Valeant Names Interim Leader as CEO Remains Hospitalized,"[{""target"":""Valeant"",""aspect"":""Corporate"",""sentiment"":0.0}]"
Valeant Said to Name New CEO With Pearson Still Hospitalized,"[{""target"":""Valeant"",""aspect"":""Corporate"",""sentiment"":0.015}]"
Shares in BAE Systems hit 10-month high on rating upgrade,"[{""target"":""BAE"",""aspect"":""Stock"",""sentiment"":0.905}]"
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,"[{""target"":""SABMiller"",""aspect"":""Stock"",""sentiment"":0.236}]"
CompaniesDixons Carphone to close 134 UK stores as sales jump,"[{""target"":""Dixons Carphone"",""aspect"":""Corporate"",""sentiment"":0.144}]"
"Broker tips: RBS, Croda, Sage","[{""target"":""RBS"",""aspect"":""Corporate"",""sentiment"":0.381},{""target"":""Sage"",""aspect"":""Corporate"",""sentiment"":0.393}]"
Shell share price: Standard Life announce position against BG acquisition,"[{""target"":""Shell"",""aspect"":""Corporate"",""sentiment"":-0.134},{""target"":""Standard Life"",""aspect"":""Corporate"",""sentiment"":-0.099}]"
Tesco share price down as grocer faces SFO investigation outcome,"[{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":-0.542}]"
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise","[{""target"":""Tesco"",""aspect"":""Market"",""sentiment"":0.439}]"
Greene King's third quarter sales boosted by festive season,"[{""target"":""Greene King"",""aspect"":""Corporate"",""sentiment"":0.363}]"
InterContinental Hotels Group share price climbs on $1.5bn special dividend,"[{""target"":""InterContinental Hotels Group"",""aspect"":""Corporate"",""sentiment"":0.631}]"
Amazon to attack UK grocery market with Morrisons deal,"[{""target"":""Morrisons"",""aspect"":""Market"",""sentiment"":0.333}]"
AstraZeneca share price: Acerta deal pays off with orphan drug status,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":0.495}]"
"BHP Billiton posts big loss, slashes dividend","[{""target"":""BHP Billiton"",""aspect"":""Corporate"",""sentiment"":-0.938}]"
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,"[{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":0.136}]"
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?","[{""target"":""Centrica PLC"",""aspect"":""Corporate"",""sentiment"":0.1},{""target"":""John Wood Group PLC"",""aspect"":""Corporate"",""sentiment"":0.103}]"
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,"[{""target"":""Legal & General Group Plc"",""aspect"":""Corporate"",""sentiment"":-0.271}]"
BHP Billiton drags FTSE lower after slashing dividend,"[{""target"":""BHP Billiton"",""aspect"":""Corporate"",""sentiment"":-0.604}]"
"BHP Billiton slashes dividend, posts $5.67 billion net loss","[{""target"":""BHP Billiton"",""aspect"":""Corporate"",""sentiment"":-0.341}]"
CompaniesMeggitt profits hit by weak energy and military markets,"[{""target"":""Meggitt"",""aspect"":""Market"",""sentiment"":-0.302}]"
Royal Mail share price edges lower as group raises stamp price,"[{""target"":""Royal Mail"",""aspect"":""Stock"",""sentiment"":-0.269}]"
GlaxoSmithKline starts hunt for successor to CEO Witty,"[{""target"":""GlaxoSmithKline"",""aspect"":""Corporate"",""sentiment"":0.0}]"
"Rio Tinto swings to loss, drops dividend policy","[{""target"":""Rio Tinto"",""aspect"":""Corporate"",""sentiment"":-0.511}]"
France raises concerns over proposed LSE-Deutsche Boerse deal,"[{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":-0.347}]"
MarketsBP promotes upstream boss to deputy CEO,"[{""target"":""BP"",""aspect"":""Corporate"",""sentiment"":0.066}]"
Legal & General share price: Finance chief to step down,"[{""target"":""Legal & General"",""aspect"":""Corporate"",""sentiment"":-0.166}]"
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,"[{""target"":""JP Morgan Chase"",""aspect"":""Corporate"",""sentiment"":-0.092}]"
Arm profits and sales up as shift away from mobile gains pace,"[{""target"":""Arm"",""aspect"":""Corporate"",""sentiment"":0.497}]"
Barclays appoints JPMorgan's Paul Compton as new COO,"[{""target"":""Barclays"",""aspect"":""Corporate"",""sentiment"":0.036},{""target"":""JPMorgan"",""aspect"":""Corporate"",""sentiment"":-0.014}]"
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...","[{""target"":""EasyJet"",""aspect"":""Corporate"",""sentiment"":-0.238}]"
NYSE owner ICE considers offer for LSE,"[{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":0.396}]"
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,"[{""target"":""ICE"",""aspect"":""Corporate"",""sentiment"":0.226},{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":0.843}]"
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),"[{""target"":""Balfour Beatty plc"",""aspect"":""Corporate"",""sentiment"":0.413},{""target"":""Centrica PLC"",""aspect"":""Corporate"",""sentiment"":0.403},{""target"":""Rival National Grid plc"",""aspect"":""Corporate"",""sentiment"":0.408}]"
Intertek swings to Â£347 mln loss on oil's slump,"[{""target"":""Intertek"",""aspect"":""Market"",""sentiment"":-0.734}]"
Sanofi poaches AstraZeneca scientist as new research head,"[{""target"":""Sanofi"",""aspect"":""Corporate"",""sentiment"":0.066}]"
Tesco breaks its downward slide by cutting sales decline in half,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":0.172}]"
"News FeedSchroders books solid earnings growth, several board changes","[{""target"":""Schroders"",""aspect"":""Stock"",""sentiment"":0.5}]"
Intertek Group announces strategic update outlining its plan,"[{""target"":""Intertek Group"",""aspect"":""Corporate"",""sentiment"":0.046}]"
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,"[{""target"":""London Stock Exchange"",""aspect"":""Corporate"",""sentiment"":0.327}]"
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,"[{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":-0.2}]"
AB InBev to Sell SABMiller Stake in China's Snow Beer,"[{""target"":""SABMiller"",""aspect"":""Stock"",""sentiment"":-0.045}]"
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,"[{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":0.105}]"
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,"[{""target"":""RBS"",""aspect"":""Corporate"",""sentiment"":0.066}]"
Industry NewsWolseley confident in reslilience amid mixed markets,"[{""target"":""Wolseley"",""aspect"":""Market"",""sentiment"":0.287}]"
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":-0.498}]"
FTSE edges up as investors cheer Kingfisher results,"[{""target"":""Kingfisher"",""aspect"":""Stock"",""sentiment"":0.678}]"
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,"[{""target"":""Barclays"",""aspect"":""Corporate"",""sentiment"":0.261}]"
Britain's FTSE gets lift from Prudential results,"[{""target"":""Prudential"",""aspect"":""Corporate"",""sentiment"":0.582}]"
Amazon's grocery deal with Morrisons is only the beginning,"[{""target"":""Morrisons"",""aspect"":""Corporate"",""sentiment"":0.389}]"
ICE Said to Start Lining Up Financing for LSE Bidding War,"[{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":0.328}]"
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack","[{""target"":""Statoil"",""aspect"":""Corporate"",""sentiment"":-0.242}]"
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,"[{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":0.358}]"
Aviva weighs cash handout after beating profit forecast,"[{""target"":""Aviva"",""aspect"":""Corporate"",""sentiment"":0.377}]"
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth","[{""target"":""WPP"",""aspect"":""Stock"",""sentiment"":0.555}]"
"Saudi Aramco, Shell plan to break up Motiva, divide up assets","[{""target"":""Saudi Aramco"",""aspect"":""Corporate"",""sentiment"":-0.142},{""target"":""Shell"",""aspect"":""Corporate"",""sentiment"":-0.102}]"
AB InBev to sell more SAB assets as seeks EU deal approval,"[{""target"":""SAB"",""aspect"":""Corporate"",""sentiment"":-0.079}]"
Tesco's Sales Pickup Isn't Enough,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":-0.23}]"
Spain's CaixaBank Expects To Close Deal For Banco BPI,"[{""target"":""CaixaBank"",""aspect"":""Corporate"",""sentiment"":0.375}]"
ITV share price: Group mulls takeover of Canada's Entertainment One,"[{""target"":""ITV"",""aspect"":""Corporate"",""sentiment"":0.422}]"
Entertainment One dispels ITV takeover rumours,"[{""target"":""Entertainment One"",""aspect"":""Corporate"",""sentiment"":0.138},{""target"":""ITV"",""aspect"":""Corporate"",""sentiment"":0.003}]"
