sentence,sentiment,target_enc,aspect_enc
Tata Steel working with StanChart for UK unit sale - source,"0.218,0.143","108,199","1,0"
Crown Castle buys Tower Development Corp for $461 million,0.366,200,0
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,"-0.038,0.365","201,7","1,1"
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",0.244,195,0
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",0.243,195,0
Spain's Caixabank launches new takeover bid for Banco BPI,0.185,202,0
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",-0.077,7,0
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,0.199,169,0
Shire Sees Baxalta Deal Closing as Expected After New Rules,0.224,10,0
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",0.257,203,0
Tesco share price steady as analysts weigh in on results,0.052,7,1
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,0.292,26,1
Should You Follow Berkshire Hathaway Into Apple Stock?,0.0,47,0
Morrisons book second consecutive quarter of sales growth,0.43,2,0
Royal Mail gets mixed bag from Ofcom postal regulation report,-0.084,0,0
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,-0.34,57,1
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",0.392,85,0
Retail giant Kingfisher reports 'solid' start to the year,0.368,99,0
"Berkshire discloses unit's ties to Iran, opens probe",-0.288,204,0
Berkshire Hathaway names Kara Raiguel to lead General Re unit,0.077,204,0
"European stocks hover near 3-week low, Dialog and BHP slump",-0.584,205,1
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,0.571,92,2
Australia clears AB Inbev's $100 billion SABMiller buyout plan,0.437,206,0
Goodwin not to face Scottish prosecution over RBS,0.114,39,0
Royal Mail turnaround proving expensive in tough UK market,-0.057,0,2
Whitbread buys 49% stake in Pure food chain,0.365,46,0
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",0.128,35,0
Royal Mail share price rallies amid positive broker comments,0.59,0,1
InterContinental Hotels first-quarter global room revenue lags estimates,-0.329,207,0
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,0.395,1,0
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,-0.421,191,0
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,"0.0,0.0","173,54","0,0"
BP joins forces with Det Norske in Norway,0.248,208,0
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,0.252,183,0
Johnson Matthey revs up on clean air drive,0.224,112,0
"Goldman Sachs, Barclays, HSBC downplay Brexit threat","0.0,-0.147,-0.14","57,209,40","0,0,0"
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,"0.207,0.329","210,85","0,0"
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,"-0.473,-0.415","211,107","0,0"
Tesco sales recover as focus returns to core business,0.35,7,0
Johnson Matthey profit falls but dividend rises,0.0,112,0
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?","0.0,0.063","212,213","0,0"
Priceline's stock jumps to new high for the year after Barclays upgrade,0.847,214,1
"Tesco set to sell Kipa, Giraffe businesses - Sky News","-0.192,0.23","215,7","1,1"
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,"0.259,0.293","216,217","0,0"
HSBC Says Unit to Book $585 Million Charge on Settlement,-0.434,40,0
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",0.427,218,0
Aviva promises higher dividends to boost flagging share price,0.281,44,0
CompaniesFresnillo shares jump 8% as silver price breaks $21,0.874,219,1
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?","0.14,0.165","220,221","0,0"
Berkshire seeks to boost its Wells Fargo stake above 10 percent,0.429,222,1
Tesco share price tumbles after negative broker note,-0.779,7,1
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,0.406,191,0
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,0.432,222,1
Berkshire applies to boost Wells Fargo stake above 10 percent,0.484,222,1
"Aviva, M&G suspend property funds as investors panic",-0.807,223,0
"UK housing market steadies after Brexit dip, Persimmon says",0.339,224,2
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,0.439,44,0
Builder Persimmon hails 6% rise in house sales,0.435,20,0
EasyJet attracts more passengers in June but still lags Ryanair,0.259,225,0
